,id,timestamp,open,high,low,close,volume,adjclose,day_of_week,month,year,quarter,returns,returns_prev_day,volatility_20d,sma_20,sma_50,rsi,target,sma_ratio,sma_cross,volatility_ratio,volume_ratio,rsi_oversold,rsi_overbought,returns_2d,returns_5d
count,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,473.0,414.0,454.0,473.0,473.0,471.0,468.0
mean,286.0,1740044828.2135305,208.8363160341033,211.49239944554787,205.78935422352959,208.63558114759513,14135292.35306554,207.84035795183564,2.0084566596194504,6.8160676532769555,2024.6131078224103,2.617336152219873,0.0020753267623732576,0.002213118691744164,0.024939504551902966,204.69128101179513,198.79432417726417,56.08334334429065,0.5285412262156448,0.018577051846151042,0.7463002114164905,1.0041853154086973,1.0093810787593744,0.048625792811839326,0.20084566596194503,0.004261452936209582,0.01080330067561935
std,136.68760002282576,17238127.190449685,53.87208573477979,54.21066735533274,53.18025431816904,53.49578208580225,7165693.358094233,54.074927425225304,1.4096866563127692,3.3651371536996746,0.5678511597424836,1.0811734871055196,0.025423490471115338,0.0254450295626144,0.007028297178469547,50.68658826706981,47.84175448216537,14.85257640580968,0.4997132513474324,0.052613314694408886,0.43558850063511595,0.25033779850000365,0.446162428427874,0.21531218350855041,0.401057029561943,0.033879389880158,0.049737879849621414
min,50.0,1710336600.0,126.75,130.66000366210938,125.77999877929688,127.6999969482422,2753914.0,125.93811798095705,0.0,1.0,2024.0,1.0,-0.13327026624069338,-0.13327026624069338,0.014021422558968684,133.96849937438964,121.19379943847656,15.839845886221369,0.0,-0.16000692044142045,0.0,0.46163078044086864,0.26801216478443557,0.0,0.0,-0.14384292699203904,-0.1617054338896946
25%,168.0,1725024600.0,170.05999755859375,172.22999572753906,167.19000244140625,170.22999572753906,9976177.0,168.63999938964844,1.0,4.0,2024.0,2.0,-0.012143907472615623,-0.012042296426892252,0.01937942431654477,167.74049911499023,168.5526010131836,45.39614794247617,0.0,-0.013076658990472776,0.0,0.8374960918184057,0.7252205049832293,0.0,0.0,-0.016719433481568402,-0.024137606658621996
50%,286.0,1740148200.0,194.38999938964844,198.06500244140625,192.19500732421875,194.6000061035156,12316500.0,193.88458251953125,2.0,7.0,2025.0,3.0,0.0023877013342619158,0.0025743853902002733,0.023275065064767304,192.85649871826172,188.5857995605469,56.438563368302766,1.0,0.02312193722508659,1.0,0.9698294348847653,0.9115600281097999,0.0,0.0,0.005394458779437006,0.012963711064420291
75%,404.0,1755028802.0,239.9900054931641,240.7899932861328,236.82000732421875,239.2899932861328,16307400.0,239.2899932861328,3.0,10.0,2025.0,4.0,0.01561830457469715,0.015903610781014654,0.028572518581774925,237.25500030517577,227.16059967041016,67.73083398006091,1.0,0.05537019878587295,1.0,1.1131922381106631,1.1844774535252318,0.0,0.0,0.02657674085097983,0.04602670172901402
max,522.0,1769806799.0,346.510009765625,351.3299865722656,341.4599914550781,342.3999938964844,68667500.0,342.3999938964844,4.0,12.0,2026.0,4.0,0.1229398421383936,0.1229398421383936,0.04479734929084836,330.13599548339846,307.2597985839844,91.44054286961209,1.0,0.15829105406309116,1.0,1.6453539453696344,4.0613691983363145,1.0,1.0,0.09998392009231782,0.13301796783040842
