timestamp,open,close,low,high,volume,adjclose,date,symbol,currency
1735655400,200.7899932861328,197.49000549316406,197.36000061035156,201.77999877929688,6427900,196.72352600097656,2024-12-31 10:30:00 UTC,TSM,USD
1735828200,197.0,201.5800018310547,196.69000244140625,203.77000427246094,10951400,200.7976531982422,2025-01-02 10:30:00 UTC,TSM,USD
1735914600,204.10000610351562,208.61000061035156,203.6999969482422,208.8000030517578,10261900,207.8003692626953,2025-01-03 10:30:00 UTC,TSM,USD
1736173800,218.77000427246094,220.00999450683594,215.69000244140625,222.1999969482422,24339900,219.15611267089844,2025-01-06 10:30:00 UTC,TSM,USD
1736260200,221.24000549316406,211.4199981689453,211.32000732421875,221.47999572753906,17010000,210.59945678710938,2025-01-07 10:30:00 UTC,TSM,USD
1736346600,209.97000122070312,207.1199951171875,205.9199981689453,210.3000030517578,13262700,206.31614685058594,2025-01-08 10:30:00 UTC,TSM,USD
1736519400,207.60000610351562,208.3699951171875,203.22999572753906,209.97999572753906,17265200,207.56129455566406,2025-01-10 10:30:00 UTC,TSM,USD
1736778600,200.52000427246094,201.36000061035156,200.0500030517578,203.58999633789062,16612400,200.57850646972656,2025-01-13 10:30:00 UTC,TSM,USD
1736865000,205.19000244140625,201.4499969482422,198.5,206.25999450683594,14182900,200.66815185546875,2025-01-14 10:30:00 UTC,TSM,USD
1736951400,202.49000549316406,206.8000030517578,199.35000610351562,209.0399932861328,18286500,205.9973907470703,2025-01-15 10:30:00 UTC,TSM,USD
1737037800,218.88999938964844,214.7899932861328,213.1699981689453,221.9499969482422,38539600,213.9563751220703,2025-01-16 10:30:00 UTC,TSM,USD
1737124200,215.1699981689453,211.5,211.05999755859375,215.67999267578125,21606100,210.6791534423828,2025-01-17 10:30:00 UTC,TSM,USD
1737469800,214.4600067138672,218.6999969482422,212.0500030517578,220.14999389648438,19061300,217.8511962890625,2025-01-21 10:30:00 UTC,TSM,USD
1737556200,221.9499969482422,223.1999969482422,219.30999755859375,225.42999267578125,17294500,222.333740234375,2025-01-22 10:30:00 UTC,TSM,USD
1737642600,220.10000610351562,224.6199951171875,219.41000366210938,224.6999969482422,8986800,223.74822998046875,2025-01-23 10:30:00 UTC,TSM,USD
1737729000,226.22000122070312,221.8800048828125,220.9600067138672,226.39999389648438,13183800,221.01885986328125,2025-01-24 10:30:00 UTC,TSM,USD
1737988200,197.0399932861328,192.30999755859375,187.6699981689453,207.0,68667500,191.56362915039062,2025-01-27 10:30:00 UTC,TSM,USD
1738074600,195.64999389648438,202.39999389648438,192.4600067138672,202.83999633789062,31738800,201.6144561767578,2025-01-28 10:30:00 UTC,TSM,USD
1738161000,204.49000549316406,202.3300018310547,199.75,206.4499969482422,15199500,201.54473876953125,2025-01-29 10:30:00 UTC,TSM,USD
1738247400,206.57000732421875,208.14999389648438,205.4199981689453,209.6199951171875,13539000,207.34214782714844,2025-01-30 10:30:00 UTC,TSM,USD
